budget,id,original_language,popularity,release_date,revenue,runtime,tagline,title,Action,Comedy,Drama,Thriller,Fantasy,Walt Disney Pictures,Universal Pictures,Warner Bros.,Columbia Pictures,Paramount Pictures,Relativity Media,Twentieth Century Fox Film Corporation,New Line Cinema
11000000,11,en,126.393695,1977-05-25,775398007,121,"A long time ago in a galaxy far, far away...",Star Wars,1,0,0,0,0,0,0,0,0,0,0,1,0
94000000,12,en,85.688789,2003-05-30,940335536,100,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000,14,en,80.878605,1999-09-15,356296601,122,Look closer.,American Beauty,0,0,1,0,0,0,0,0,0,0,0,0,0
140000000,22,en,271.972889,2003-07-09,655011224,143,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,1,0,0,0,1,1,0,0,0,0,0,0,0
30000000,24,en,79.754966,2003-10-10,180949e3,111,Go for the kill.,Kill Bill: Vol. 1,1,0,0,0,0,0,0,0,0,0,0,0,0
31500000,28,en,49.973462,1979-08-15,89460381,153,This is the end...,Apocalypse Now,0,0,1,0,0,0,0,0,0,0,0,0,0
75000000,35,en,46.875375,2007-07-25,527068851,87,See our family. And feel better about yours.,The Simpsons Movie,0,1,0,0,0,0,0,0,0,0,0,1,0
20000000,38,en,56.481487,2004-03-19,72258126,108,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,0,0,1,0,0,0,0,0,0,0,0,0,0
200000000,58,en,145.847379,2006-06-20,1065659812,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,1,0,0,0,1,1,0,0,0,0,0,0,0
41000000,65,en,32.798571,2002-11-08,215e6,110,Every moment is another chance.,8 Mile,0,0,1,0,0,0,0,0,0,0,0,0,0
30000000,70,en,70.456012,2004-12-15,216763646,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,0,0,1,0,0,0,0,1,0,0,0,0,0
20000000,73,en,73.567232,1998-10-30,23875127,119,Some Legacies Must End.,American History X,0,0,1,0,0,0,0,0,0,0,0,0,1
70000000,75,en,44.090535,1996-12-12,101371017,106,Nice planet. We'll take it!,Mars Attacks!,0,1,0,0,1,0,0,0,0,0,0,0,0
9000000,77,en,60.715151,2000-10-11,39723096,113,Some memories are best forgotten.,Memento,0,0,0,1,0,0,0,0,0,0,0,0,0
28000000,78,en,94.056131,1982-06-25,33139618,117,Man has made his match... now it's his problem.,Blade Runner,0,0,1,1,0,0,0,1,0,0,0,0,0
2700000,80,en,14.799323,2004-02-10,15992615,80,What if you had a second chance with the one that got away?,Before Sunset,0,0,1,0,0,0,0,0,0,0,0,0,0
18000000,85,en,68.159596,1981-06-12,389925971,115,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,1,0,0,0,0,0,0,0,0,1,0,0,0
